BBL,BHP Billiton plc,20131125,Australia shares seen opening with caution  BHP set to dip ,SYDNEY  Nov 26 Australian shares are likely to have a cautious start on Tuesday with Wall Street fairly quiet ahead of Thanksgiving holidays later in the week.,topStory
CP,Canadian Pacific Railway Limited,20131125,UPDATE 1-Canadian Pacific train hauling coal derails; no injuries ,CALGARY  Alberta  Nov 25 A northbound Canadian Pacific Railway Ltd train derailed near Windermere  British Columbia  on Monday morning  sending 16 cars loaded with coal off the tracks  a spokesman for the rail company said.,topStory
CP,Canadian Pacific Railway Limited,20131125,CP train hauling coal derails in British Columbia ,CALGARY  Alberta  Nov 25 A northbound Canadian Pacific Railway Ltd train derailed near Windermere  British Columbia  on Monday morning  sending 19 cars loaded with coal off the tracks  the Transportation Safety Board of Canada said.,normal
CVX,Chevron Corporation,20131125,PDVSA's oil exports to Citgo decline  U.S. oil firms buy more -EIA ,HOUSTON  Nov 25 Venezuela's state-owned oil company PDVSA is sending less of its crude to its U.S. unit Citgo and some of the slack is being picked up by other U.S. oil firms such as Valero Energy and Chevron   according to the Energy Information Administration.,topStory
CVX,Chevron Corporation,20131125,INDIA PRESS-ONGC Videsh eyes Chevron's gas block in Vietnam-PTI in Economic Times ,Note: Reuters has not verified this story and does not vouch for its accuracy.,normal
CHL,China Mobile (Hong Kong) Ltd,20131125,China Mobile 4G services to begin Dec 18 - Shanghai Daily ,BEIJING  Nov 25 China Mobile Ltd  the world's largest mobile carrier by number of users  will begin commercial services of its high-speed 4G network on December 18  the Shanghai Daily reported on Monday.,topStory
SNP,China Petroleum & Chemical Corporation,20131125,Sinopec reshuffles refineries  diverts tankers after blast ,BEIJING Asia's top oil refiner Sinopec  has cut production for at least two of its refineries in China's eastern Shandong province after the pipeline blast which killed 55 people on Friday  industry sources said.,topStory
SNP,China Petroleum & Chemical Corporation,20131125,WRAPUP-Sinopec reshuffles refineries  diverts tankers after blast ,BEIJING  Nov 25 Asia's top oil refiner Sinopec   has cut production for at least two of its refineries in China's eastern Shandong province after the pipeline blast which killed 55 people on Friday  industry sources said.,normal
SNP,China Petroleum & Chemical Corporation,20131125,Update-Moody's: Sinopec Corp's pipeline accident is credit negative  but no rating impact ,For the full text of this story please click the following link:,normal
SNP,China Petroleum & Chemical Corporation,20131125,Hong Kong shares end down  Tencent strength offsets Sinopec ,HONG KONG  Nov 25 Hong Kong shares ended weaker on Monday  with Chinese Internet giant Tencent Holdings  leading technology gains that offset weakness for Sinopec Corp after pipeline explosions at its Qingdao oil terminals.,normal
SNP,China Petroleum & Chemical Corporation,20131125,China shares fall  Sinopec sinks after pipeline explosion ,HONG KONG  Nov 25 China shares ended a choppy session a touch lower on Monday as strength in defence-related stocks countered a dip in index heavyweight Sinopec Corp  after a pipeline explosion at its Qingdao terminals.,normal
SNP,China Petroleum & Chemical Corporation,20131125,China shares buoyed by defence-linked firms  Sinopec slumps ,* Defense-related A-shares lifted by Beijing airspace rules,normal
C,Citigroup Inc,20131125,Citigroup can't block Abu Dhabi arbitration over $7.5 billion stake ,NEW YORK A U.S. judge has rejected Citigroup Inc's  effort to block the Abu Dhabi Investment Authority from seeking a second arbitration over the sovereign wealth fund's $7.5 billion investment in late 2007 to shore up the then-struggling bank.,topStory
C,Citigroup Inc,20131125,Citigroup can't block Abu Dhabi arbitration over $7.5 bln stake ,NEW YORK  Nov 25 A U.S. judge has rejected Citigroup Inc's effort to block the Abu Dhabi Investment Authority from seeking a second arbitration over the sovereign wealth fund's $7.5 billion investment in late 2007 to shore up the then-struggling bank.,normal
CBD,Companhia Brasileira de Distribuicao,20131125,Brazil's Pao de Acucar  Klein family to sell Via Varejo shares ,SAO PAULO  Nov 25 Brazil's top retailer Grupo Pao de Acucar and the Klein family  which share ownership of Brazil's largest home appliance retailer Via Varejo   plan to raise as much as 4.9 billion reais ($2.2 billion) through a secondary sale of share units in the company.,topStory
CMI,Cummins Inc,20131125,WRAPUP 2-U.S. pending home sales hit 10-month low  services sector rebounds ,* Pending home sales fall 0.6 percent in October     * Home sales contracts lowest in 10 months     * Services sector activity rebounds in early November      By Lucia Mutikani     WASHINGTON  Nov 25 Contracts to buy previously owned U.S. homes hit a 10-month low in October  but a strong rebound in services sector activity early this month suggested some resilience in the economy as the year winds down.     The National Association of Realtors said on Monday its Pending Home Sales In,topStory
DVA,DaVita Inc,20131125,BRIEF-DaVita HealthCare shares up 2.9 pct premarket after guidance ,NEW YORK  Nov 25 DaVita HealthCare Partners Inc  :  * Shares up 2.9 percent premarket after guidance,topStory
DAL,Delta Air Lines Inc,20131125,AMR seeks court approval for settlement paving way to US Airways merger ,NEW YORK  Nov 25 The parent company of American Airlines on Monday asked a bankruptcy court to approve a settlement with U.S. regulators that would allow it to merge with rival US Airways Group and create the world's largest airline.,normal
DB,Deutsche Bank AG,20131125,New Issue-Deutsche Bank prices 1.0 bln euro 2015 FRN ,Notes                   Launched under issuer's Debt Issuance Programme,topStory
DEO,Diageo plc,20131125,Diageo offers to sell Whyte & Mackay whisky assets ,LONDON Britain's Diageo  has offered to sell most of Whyte & Mackay's whisky assets to address competition concerns arising from its July acquisition of a controlling interest in India's United Spirits .,topStory
DEO,Diageo plc,20131125,UPDATE 2-Diageo offers to sell Whyte & Mackay whisky assets ,* Offer includes all assets apart from two malt distilleries,normal
DEO,Diageo plc,20131125,REFILE--UK regulator weighing Diageo offer to sell whiskey assets ,LONDON  Nov 25 Britain's Office of Fair Trade said on Monday that it is considering an offer from Diageo   to sell most of its Whyte & Mackay assets to address competition concerns arising from Diageo's acquisition this year of a controlling interest in United Spirits Limited.,normal
