BT,BT Group plc,20160223,BT ready to up network spend if regulator decides against split ,BARCELONA Britain's BT said it would increase investment in superfast broadband  including more fiber to the home  if regulator Ofcom decides against forcing a break-up of the company.,topStory
BT,BT Group plc,20160223,BT ready to up network spend if regulator decides against split ,BARCELONA  Feb 23 Britain's BT said it would increase investment in superfast broadband  including more fibre to the home  if regulator Ofcom decides against forcing a break-up of the company.,normal
CBS,CBS Corporation,20160223,UPDATE 3-Viacom weighs selling minority stake in Paramount film unit ,Feb 23 Viacom Inc is considering selling a "significant" minority stake in its Paramount Pictures movie studio  Chief Executive Philippe Dauman said on Tuesday,topStory
CBS,CBS Corporation,20160223,Viacom to consider selling minority stake in Paramount Pictures ,Feb 23 Viacom Inc is considering selling a minority stake in its Paramount Pictures movie studio  Chief Executive Philippe Dauman said on Tuesday.,normal
C,Citigroup Inc,20160223,U.S. orders Citibank to pay customers over debt and collections practices ,WASHINGTON The Consumer Financial Protection Bureau said on Tuesday it ordered Citibank to pay $5 million back to customers and $3 million in penalties over its debt sales and collection practices.,topStory
C,Citigroup Inc,20160223,U.S. orders Citibank to pay customers over debt and collections practices ,WASHINGTON  Feb 23 The Consumer Financial Protection Bureau said on Tuesday it ordered Citibank to pay $5 million back to customers and $3 million in penalties over its debt sales and collection practices.,normal
C,Citigroup Inc,20160223,UPDATE 5-Time Inc explores bid for Yahoo's core business -source ,Feb 23 Time Inc  publisher of Sports Illustrated  People and Time magazines  has been exploring a bid to acquire Yahoo Inc's core Internet business for several weeks  a source familiar with the situation told Reuters on Tuesday.,normal
C,Citigroup Inc,20160223,UPDATE 2-Argentine lawmakers seen favoring deal with holdout creditors ,BUENOS AIRES  Feb 22 Argentina's Congress will likely repeal two laws blocking settlement of a court case that has hobbled Latin America's third-biggest economy by keeping it locked out of the global bond market  a key lawmaker and analysts said on Monday.,normal
KO,Coca-Cola Company (The),20160223,Mexico's Coke Femsa reports slightly higher 4th-qtr profit ,MEXICO CITY  Feb 23 Latin America's biggest Coke bottler Coca-Cola Femsa on Tuesday said its fourth-quarter profit rose 1.5 percent.,topStory
CVS,CVS Health Corporation,20160223,CORRECTED-CVS says 2015 drug spending grew 5 percent  far less than in 2014 ,NEW YORK  Feb 23 CVS Health Corp said on Tuesday its pharmacy benefit customers spent about 5 percent more on prescription drugs in 2015 than in 2014  a year when drug spending jumped nearly 12 percent.,topStory
DB,Deutsche Bank AG,20160223,BRIEF-Deutsche Bank completes tender to buy back senior debt ,* successful completion of tender offer to repurchase up to eur 3 billion of five euro-denominated issues of senior unsecured debt securities,topStory
EC,Ecopetrol SA,20160223,CERAWEEK-Colombia's Ecopetrol to sell assets  cut staff amid low oil prices ,HOUSTON  Feb 23 Colombia's Ecopetrol is selling some non-oil related assets  expecting to collect $1.4 billion at the end of 2017  and cutting 10 percent of staff as part of a cost reduction plan due to low oil prices  the state-run oil firm's chief executive said on Tuesday.,topStory
FMX,Fomento Economico Mexicano SAB de CV,20160223,Mexico's Coke Femsa reports slightly higher 4th-qtr profit ,MEXICO CITY  Feb 23 Latin America's biggest Coke bottler Coca-Cola Femsa on Tuesday said its fourth-quarter profit rose 1.5 percent.,topStory
F,Ford Motor Company,20160223,Car sharing won't be as disruptive as self-driving cars -study ,DETROIT  Feb 23 The growth of car-sharing services will erode traditional manufacturers' vehicle sales and revenues through 2021  but will not be nearly as disruptive as the rise of self-driving cars later in the decade  a study forecasts.,normal
GM,General Motors Company,20160223,U.S. judge to stick with plan for GM ignition-switch test trials ,NEW YORK A federal judge in Manhattan said on Tuesday he will not alter  for now  a plan to try five more early test cases this year against General Motors Co over faulty ignition switches  linked to nearly 400 injuries and deaths.,topStory
