PBR,Petroleo Brasileiro SA- Petrobras,20150819,LATAM WRAP-LatAm credits wider on commodity concerns ,NEW YORK  Aug 19 (IFR) - LatAm credits took another beating on Wednesday  as a rally in US Treasuries after the Fed's minutes failed to offset concerns about growth in China as well as sputtering commodity prices.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150819,Petrobras may replace fuel unit CEO ahead of IPO  paper says ,SAO PAULO  Aug 19 State-controlled Brazilian oil producer Petróleo Brasileiro SA  plans to replace the head of fuel distribution subsidiary BR Distribuidora SA ahead of an initial public offering plan for the unit this year  Valor Econômico newspaper said on Wednesday.,normal
PM,Philip Morris International Inc,20150819,Philip Morris CR posts 28 pct rise in H1 profit ,PRAGUE  Aug 19 Philip Morris CR  recorded a 28 percent rise in first-half net profit to 1.3 billion Czech crowns ($53.20 million)  the Czech tobacco company said on Wednesday.,topStory
PIR,Pier 1 Imports Inc,20150819,REFILE-UPDATE 1-Japan July export growth slows as global demand shows signs of weakening ,(Deletes extraneous character in 2nd paragraph)     * July exports +7.6 pct yr/yr vs forecast +5.5 pct     * Export growth slows  concern about China lingers     * Imports -3.2 pct yr/yr vs forecast -7.9 pct      By Stanley White     TOKYO  Aug 19 Japan's export growth slowed in July on reduced shipments of cars and electronics to Asia in a sign that the global demand outlook may be losing its lustre.       The 7.6 percent annual increase in exports in July was bigger than the med,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150819,BRIEF-Taiwan's TSMC orders equipment from Tokyo Electron  Screen Semiconductor for T$1.9 bln ,* Says orders equipment from Tokyo Electron Ltd  and Screen Semiconductor Solutions Co Ltd for T$1.9 billion ($58.54 million),topStory
TGT,Target Corporation,20150819,Target's quarterly sales outlook disappoints; shares dip ,CHICAGO Target Corp  forecast disappointing sales for this quarter and said it expected consumer demand to remain choppy  causing its shares to give up early gains. | Video ,topStory
TGT,Target Corporation,20150819,UPDATE 3-Target's quarterly sales outlook disappoints; shares dip ,CHICAGO  Aug 19 Target Corp forecast disappointing sales for this quarter and said it expected consumer demand to remain choppy  causing its shares to give up early gains.,normal
TGT,Target Corporation,20150819,BRIEF-Target Q2 adjusted earnings per share $1.22 ,* Q2 GAAP earnings per share from continuing operations $1.21,normal
TGT,Target Corporation,20150819,Target raises 2015 earnings forecast for second time ,Aug 19 Retailer Target Corp raised its full-year earnings forecast for the second time and reported its sixth straight rise in quarterly sales  driven by demand for home products and apparel.,normal
TEF,Telefonica SA,20150819,BRIEF-Alcatel-Lucent transforms Telefonica's IP network ,* Alcatel-Lucent transforms Telefonica's IP network as demand grows for highest network performance to deliver data and video,topStory
TM,Toyota Motor Corp Ltd Ord,20150819,UPDATE 1-Toyota extends halt in Tianjin operations on safety concerns ,* At least 67 Toyota employees hurt in last week's blasts   (Adds context  details on Toyota's Tianjin operation),topStory
TM,Toyota Motor Corp Ltd Ord,20150819,Toyota extends halt to Tianjin operations on health concerns ,TOKYO  Aug 19 Toyota Motor Corp. said on Wednesday its operations near the Chinese port of Tianjin will remain closed at least until Sunday  extending a suspension originally set through Wednesday  due to safety concerns after last week's deadly chemical explosion in the area.,normal
TM,Toyota Motor Corp Ltd Ord,20150819,UPDATE 2-Global automakers divert shipments from China's Tianjin port after blasts ,* Shanghai auto terminal traffic may rise 10 pct -operator   (Recasts; adds Renault  Fuji Heavy  Hyundai diversions),normal
TM,Toyota Motor Corp Ltd Ord,20150819,Toyota likely to divert shipments from China's Tianjin port after blasts ,BEIJING Toyota Motor Corp is looking at diverting shipments to  Dalian and Shanghai ports from Tianjin  China's main car import terminal  where operations have been indefinitely disrupted after massive explosions last week  according to a senior Beijing-based company executive.,normal
TM,Toyota Motor Corp Ltd Ord,20150819,Toyota likely to divert shipments from China's Tianjin port after blasts-exec ,BEIJING  Aug 19 Toyota Motor Corp could divert shipments from China's Tianjin port where operations have been indefinitely disrupted after a massive explosion last week  a senior Beijing-based company executive said on Wednesday.,normal
TRCO,Tribune Media Company,20150819,Tribune survives Aurelius court challenge to bankruptcy plan ,A federal appeals court on Wednesday refused to undo a central component of Tribune Co's bankruptcy plan in a defeat for  prominent hedge fund Aurelius Capital Management LP  which claimed it was short-changed by the reorganization.,topStory
TRCO,Tribune Media Company,20150819,Tribune survives Aurelius court challenge to bankruptcy plan ,A federal appeals court on Wednesday refused to undo a central component of Tribune Co's bankruptcy plan in a defeat for  prominent hedge fund Aurelius Capital Management LP  which claimed it was short-changed by the reorganization.,normal
TRCO,Tribune Media Company,20150819,Tribune survives Aurelius court challenge to bankruptcy plan ,Aug 19 A federal appeals court on Wednesday refused to undo a central component of Tribune Co's bankruptcy plan in a defeat for  prominent hedge fund Aurelius Capital Management LP  which claimed it was short-changed by the reorganization.,normal
WMT,Wal-Mart Stores Inc,20150819,RPT-Wal-Mart's drug problem: pharmacy business drags on profit ,CHICAGO  Aug 18 The world's largest retailer has a drug problem.,topStory
WMT,Wal-Mart Stores Inc,20150819,India Morning Call-Global Markets ,NEW YORK - U.S. stocks fell on Tuesday  with the S&P 500 trading in its tightest daily range in nearly a month  weighed down by earnings-related selling in Wal-Mart and a drop in commodity stocks on concerns about China's economy..,normal
WMT,Wal-Mart Stores Inc,20150819,Wal-Mart's drug problem: pharmacy business drags on profit ,CHICAGO The world's largest retailer has a drug problem.,normal
WMT,Wal-Mart Stores Inc,20150819,Wal-Mart's drug problem: pharmacy business drags on profit ,CHICAGO  Aug 18 The world's largest retailer has a drug problem.,normal
