EBAYL,eBay Inc,20140910,UPDATE 3-Rocket's $6.5 bln float plan joins e-commerce listings rush ,* Rocket seeks to raise about 750 mln euros via new share issue,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140910,MOVES-Barclays appoints Ex-Goldman banker to its Middle East team -Bloomberg ,Sept 11 Barclays Plc named Khaled Eldabag as co-head for its investment-banking arm in the Middle East and North Africa  Bloomberg reported on Wednesday.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140910,Rose close to 'a great year' after two 2014 wins ,ATLANTA Tournament wins on both sides of the Atlantic have made 2014 "a good year" for world number five Justin Rose  who says a slightly better showing in the majors would have transformed his campaign into a great one.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140910,Bidvest appoints Barclays  Investec to look at London listing ,JOHANNESBURG  Sept 10 South African conglomerate Bidvest on Wednesday appointed Barclays and Investec as advisers for a possible listing of its food business on the London Stock Exchange.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140910,RPT-Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140910,Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140910,MOVES-Barclays hires Bank of America's deal banker -FT ,Sept 9 Barclays PLC appointed Richard Casavechia as the head of its M&A structuring  and he will start working at Barclays by the end of the year  the Financial Times reported.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140910,MOVES-Barclays appoints Ex-Goldman banker to its Middle East team -Bloomberg ,Sept 11 Barclays Plc named Khaled Eldabag as co-head for its investment-banking arm in the Middle East and North Africa  Bloomberg reported on Wednesday.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20140910,Rose close to 'a great year' after two 2014 wins ,ATLANTA Tournament wins on both sides of the Atlantic have made 2014 "a good year" for world number five Justin Rose  who says a slightly better showing in the majors would have transformed his campaign into a great one.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140910,Bidvest appoints Barclays  Investec to look at London listing ,JOHANNESBURG  Sept 10 South African conglomerate Bidvest on Wednesday appointed Barclays and Investec as advisers for a possible listing of its food business on the London Stock Exchange.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140910,RPT-Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140910,Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140910,MOVES-Barclays hires Bank of America's deal banker -FT ,Sept 9 Barclays PLC appointed Richard Casavechia as the head of its M&A structuring  and he will start working at Barclays by the end of the year  the Financial Times reported.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140910,MOVES-Barclays appoints Ex-Goldman banker to its Middle East team -Bloomberg ,Sept 11 Barclays Plc named Khaled Eldabag as co-head for its investment-banking arm in the Middle East and North Africa  Bloomberg reported on Wednesday.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20140910,Rose close to 'a great year' after two 2014 wins ,ATLANTA Tournament wins on both sides of the Atlantic have made 2014 "a good year" for world number five Justin Rose  who says a slightly better showing in the majors would have transformed his campaign into a great one.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140910,Bidvest appoints Barclays  Investec to look at London listing ,JOHANNESBURG  Sept 10 South African conglomerate Bidvest on Wednesday appointed Barclays and Investec as advisers for a possible listing of its food business on the London Stock Exchange.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140910,RPT-Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140910,Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140910,MOVES-Barclays hires Bank of America's deal banker -FT ,Sept 9 Barclays PLC appointed Richard Casavechia as the head of its M&A structuring  and he will start working at Barclays by the end of the year  the Financial Times reported.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140910,MOVES-Barclays appoints Ex-Goldman banker to its Middle East team -Bloomberg ,Sept 11 Barclays Plc named Khaled Eldabag as co-head for its investment-banking arm in the Middle East and North Africa  Bloomberg reported on Wednesday.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20140910,Rose close to 'a great year' after two 2014 wins ,ATLANTA Tournament wins on both sides of the Atlantic have made 2014 "a good year" for world number five Justin Rose  who says a slightly better showing in the majors would have transformed his campaign into a great one.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140910,Bidvest appoints Barclays  Investec to look at London listing ,JOHANNESBURG  Sept 10 South African conglomerate Bidvest on Wednesday appointed Barclays and Investec as advisers for a possible listing of its food business on the London Stock Exchange.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140910,RPT-Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140910,Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140910,MOVES-Barclays hires Bank of America's deal banker -FT ,Sept 9 Barclays PLC appointed Richard Casavechia as the head of its M&A structuring  and he will start working at Barclays by the end of the year  the Financial Times reported.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140910,MOVES-Barclays appoints Ex-Goldman banker to its Middle East team -Bloomberg ,Sept 11 Barclays Plc named Khaled Eldabag as co-head for its investment-banking arm in the Middle East and North Africa  Bloomberg reported on Wednesday.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20140910,Rose close to 'a great year' after two 2014 wins ,ATLANTA Tournament wins on both sides of the Atlantic have made 2014 "a good year" for world number five Justin Rose  who says a slightly better showing in the majors would have transformed his campaign into a great one.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140910,Bidvest appoints Barclays  Investec to look at London listing ,JOHANNESBURG  Sept 10 South African conglomerate Bidvest on Wednesday appointed Barclays and Investec as advisers for a possible listing of its food business on the London Stock Exchange.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140910,RPT-Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140910,Market Chatter- Corporate finance press digest ,Sept 10 The following corporate finance-related stories were reported by media:,normal
