BK,Bank Of New York Mellon Corporation (The),20140509,Mitsubishi UFJ may bid for BNY Mellon's Trust Unit: Bloomberg ,Mitsubishi UFJ Financial Group Inc   Japan's biggest lender  is considering bidding for the corporate trust arm of Bank of New York Mellon Corp   Bloomberg reported on Friday  citing unidentified people with knowledge of the matter.,topStory
BK,Bank Of New York Mellon Corporation (The),20140509,UPDATE 1-Mitsubishi UFJ may bid for BNY Mellon's Trust Unit - Bloomberg ,May 9 Mitsubishi UFJ Financial Group Inc   Japan's biggest lender  is considering bidding for the corporate trust arm of Bank of New York Mellon Corp  Bloomberg reported on Friday  citing unidentified people with knowledge of the matter.,normal
BK,Bank Of New York Mellon Corporation (The),20140509,Mitsubishi UFJ may bid for BNY Mellon's Trust Unit -Bloomberg ,May 9 Mitsubishi UFJ Financial Group Inc   Japan's biggest lender  is considering bidding for the corporate trust arm of Bank of New York Mellon Corp  Bloomberg reported on Friday citing unidentified people with knowledge of the matter.,normal
BCS,Barclays PLC,20140509,RPT-Fitch: Barclays' Strategy Update Should Strengthen Bank but Execution Will be Key ,May 9 (The following statement was released by the rating agency),topStory
BSX,Boston Scientific Corporation,20140509,Boston Scientific gets subpoena over defibrillators ,Medical device maker Boston Scientific Corp said it received a subpoena this week from the Department of Health and Human Services seeking information about the performance of some of its implanted defibrillators.,topStory
BSX,Boston Scientific Corporation,20140509,Boston Scientific gets subpoena over defibrillators ,May 8 Medical device maker Boston Scientific Corp said it received a subpoena this week from the Department of Health and Human Services seeking information about the performance of some of its implanted defibrillators.,normal
C,Citigroup Inc,20140509,Polish Citigroup unit exceeds forecasts with Q1 profit ,WARSAW  May 9 Citigroup's Polish unit  said on Friday its net profit in the first quarter fell by almost a third  hit by lower net interest income in the face of record-low interest rates environment.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20140509,STXNEWS LATAM-Brazil post office seeks stake in cargo airline ,Cade  Brazil's antitrust watchdog  on Friday began an analysis of a request by Empresa Brasileira de Correios e Telégrafos SA  the state-run post office  to buy a minority stake in a cargo airline  according to a Correios statement. It has 13 airlines as contractors for courier and cargo services  but is looking to overhaul the system  following recommendations of Brazil's comptroller general and another agency charged with overseeing budget spending.,topStory
GPS,Gap Inc (The),20140509,CORRECTED-US STOCKS-Futures dip; Nasdaq set for worst weekly loss in four ,(Corrects to show earnings data through Thursday morning  not Wednesday),normal
GEK,General Electric Capital Corporation,20140509,France wants Areva to buy Alstom wind unit if GE wins bid: paper ,PARIS France wants state-controlled nuclear group Areva to take over Alstom's offshore wind turbine unit if General Electric's bid for Alstom succeeds  a French paper reported on Friday.,topStory
