FOX,Twenty-First Century Fox Inc,20140811,REFILE-ValueAct takes $1 bln stake in 21st Century Fox - CNBC ,Aug 11 Hedge fund ValueAct Capital LLC has taken a $1 billion stake in Rupert Murdoch-controlled film and TV company Twenty-First Century Fox Inc  CNBC reported.,normal
FOXA,Twenty-First Century Fox Inc,20140811,ValueAct takes $1 billion stake in 21st Century Fox ,Hedge fund ValueAct Capital LLC said it had taken a $1 billion stake in Rupert Murdoch-controlled film and TV company Twenty-First Century Fox Inc FOXA.O.,topStory
FOXA,Twenty-First Century Fox Inc,20140811,UPDATE 2-ValueAct takes $1 bln stake in 21st Century Fox ,Aug 11 Hedge fund ValueAct Capital LLC said it had taken a $1 billion stake in Rupert Murdoch-controlled film and TV company Twenty-First Century Fox Inc.,normal
FOXA,Twenty-First Century Fox Inc,20140811,REFILE-ValueAct takes $1 bln stake in 21st Century Fox - CNBC ,Aug 11 Hedge fund ValueAct Capital LLC has taken a $1 billion stake in Rupert Murdoch-controlled film and TV company Twenty-First Century Fox Inc  CNBC reported.,normal
AGN,Allergan plc,20140811,Exclusive: ValueAct CEO says Valeant does not need to buy Allergan ,NEW YORK ValueAct Capital  a top shareholder in Valeant Pharmaceuticals International Inc    supports the company's independent business plan and does not believe the Canadian drugmaker has to buy Allergan Inc   the investor told Reuters on Monday.,topStory
AIG,American International Group Inc,20140811,China's sovereign fund CIC in talks to buy aircraft lessor Avolon-sources ,NEW YORK  Aug 11 China's $653 billion sovereign wealth fund  China Investment Corp (CIC)  is in talks to buy Dublin-based aircraft leasing firm Avolon for $4 billion to $5 billion including debt  according to people familiar with the matter.,normal
AEUA,Anadarko Petroleum Corporation,20140811,Hong Kong and China shares up on inflation data  solid Wall St; property strong ,* China property sector lifted by provincial-level easing,topStory
APC,Anadarko Petroleum Corporation,20140811,Hong Kong and China shares up on inflation data  solid Wall St; property strong ,* China property sector lifted by provincial-level easing,topStory
BK,Bank Of New York Mellon Corporation (The),20140811,MOVES-BNY Mellon appoints new country executive for Japan ,Aug 11 Investment management company BNY Mellon appointed Douglas Hymas as country executive for Japan and general manager of the company's Tokyo branch.,topStory
BCS,Barclays PLC,20140811,FT's former CEO joins race for Barclays' top job: Sunday Times ,The former chief executive of the Financial Times  Rona Fairhead  and the former deputy governor of the Bank of England  Howard Davies  are contesting to be Barclays Plc's next chairman  the Sunday Times reported  citing sources.,topStory
