CG,The Carlyle Group LP,20170220,UPDATE 1-Hong Kong union joins critics of McDonald's HK  China sale  sees pay squeeze ,HONG KONG  Feb 20 The Hong Kong Confederation of Trade Unions (HKCTU) warned that McDonald's Corp's up-to-$2.1 billion sale of its Hong Kong and China operations could hit workers' pay  adding to growing criticism of the deal on the mainland and elsewhere.,normal
CG,The Carlyle Group LP,20170220,Hong Kong union joins critics of McDonald's HK  China sale  sees pay squeeze ,HONG KONG  Feb 20 The Hong Kong Confederation of Trade Unions (HKCTU) warned that McDonald's Corp's up-to-$2.1 billion sale of its Hong Kong and China operations could hit workers' pay  adding to growing criticism of the deal on the mainland and elsewhere.,normal
TCGP,The Carlyle Group LP,20170220,UPDATE 1-Hong Kong union joins critics of McDonald's HK  China sale  sees pay squeeze ,HONG KONG  Feb 20 The Hong Kong Confederation of Trade Unions (HKCTU) warned that McDonald's Corp's up-to-$2.1 billion sale of its Hong Kong and China operations could hit workers' pay  adding to growing criticism of the deal on the mainland and elsewhere.,normal
TCGP,The Carlyle Group LP,20170220,Hong Kong union joins critics of McDonald's HK  China sale  sees pay squeeze ,HONG KONG  Feb 20 The Hong Kong Confederation of Trade Unions (HKCTU) warned that McDonald's Corp's up-to-$2.1 billion sale of its Hong Kong and China operations could hit workers' pay  adding to growing criticism of the deal on the mainland and elsewhere.,normal
KHC,The Kraft Heinz Company,20170220,UK PM May's office was not involved in Kraft withdrawing Unilever offer: spokesman ,LONDON British Prime Minister Theresa May's office was not involved in Kraft Heinz's  decision to withdraw its $143 billion bid for Unilever   her spokesman said on Monday.,topStory
KHC,The Kraft Heinz Company,20170220,Collapse of Kraft-Unilever tie-up extends run of failed mega-deals ,LONDON  Feb 20 Kraft Heinz's dropped bid to buy Unilever is the third-largest M&A deal to collapse  according to Thomson Reuters data  adding to a recent run of failures that highlights the appetite for the pursuit of audacious mega-mergers.,normal
KHC,The Kraft Heinz Company,20170220,Kraft's failed Unilever bid shows it needs growth over cost cuts ,Acquire  slash costs  repeat. Billionaire investor Warren Buffet and buyout firm 3G Capital's failed $143 billion bid to combine their food conglomerate Kraft Heinz Co  with Unilever Plc  shows their winning formula now needs a growth boost.,normal
KHC,The Kraft Heinz Company,20170220,DEALTALK-Kraft's failed Unilever bid shows it needs growth over cost cuts ,Feb 20 Acquire  slash costs  repeat. Billionaire investor Warren Buffet and buyout firm 3G Capital's failed $143 billion bid to combine their food conglomerate Kraft Heinz Co  with Unilever Plc shows their winning formula now needs a growth boost.,normal
KHC,The Kraft Heinz Company,20170220,FTSE steadies after setting 1-month high  Unilever slumps ,* Pearson hit by broker target price cut   (ADVISORY- Follow European and UK stock markets in real time on the Reuters Live Markets blog on Eikon  see cpurl://apps.cp./cms/?pageId=livemarkets),normal
KHC,The Kraft Heinz Company,20170220,Kraft Heinz is a good fire drill for Unilever ,LONDON (Reuters Breakingviews) - Close shaves sometimes leave scars. Unilever boss Paul Polman can keep his M&A defence powder dry following Kraft Heinz's decision on Feb. 19 to walk away from its spurned bid. But the shock to the system will have an effect on the Anglo-Dutch food and household goods company.,normal
KHC,The Kraft Heinz Company,20170220,UPDATE 2-Kraft backs out of Unilever bid after hostile reception ,* Kraft camp had told UK Business Secretary details of plan   (Adds details on Kraft's interaction with UK government),normal
KHC,The Kraft Heinz Company,20170220,Unilever shares tumble 8 pct after Kraft ditches bid ,LONDON  Feb 20 Shares in Anglo-Dutch consumer goods group Unilever  dropped 8 percent on Monday after U.S. rival Kraft Heinz Co abruptly ditched its surprise $143 billion merger proposal.,normal
KHC,The Kraft Heinz Company,20170220,GLOBAL MARKETS-Asia shares adrift for US holiday  focus on Unilever ,* Fed's Mester talks rate hikes at start of busy week for speeches,normal
KHC,The Kraft Heinz Company,20170220,Kraft Heinz has to settle for marinating Unilever ,NEW YORK (Reuters Breakingviews) - Almost nothing made by Kraft Heinz or Unilever has an expiration date of just two days – except  that is  for their $143 billion merger. Kraft  the American ketchup-and-cheese concern controlled by Brazilian investment firm 3G  withdrew an offer to acquire its Anglo-Dutch counterpart on Sunday after an inopportune leak put the knickers of British politicians and unions in a twist. But the idea of pairing 3G's ruthless cost management with Unilever's innovative ,normal
TMUS,T-Mobile US Inc,20170220,SoftBank shares up; sources say company willing to cede control of Sprint ,TOKYO Shares in SoftBank Group Corp  rose nearly 3 percent in morning trade on Monday after a Reuters report that the Japanese company is prepared to cede control of Sprint Corp  to T-Mobile US Inc  to clinch a merger of the two U.S. wireless carriers.,topStory
TMUS,T-Mobile US Inc,20170220,Nikkei slips on yen  uncertainty on Trump policies ,TOKYO  Feb 20 Japanese shares fell for a third consecutive session on Monday as the yen's gains and uncertainty about U.S. economic policies prompted profit-taking.,normal
TMUSP,T-Mobile US Inc,20170220,SoftBank shares up; sources say company willing to cede control of Sprint ,TOKYO Shares in SoftBank Group Corp  rose nearly 3 percent in morning trade on Monday after a Reuters report that the Japanese company is prepared to cede control of Sprint Corp  to T-Mobile US Inc  to clinch a merger of the two U.S. wireless carriers.,topStory
TMUSP,T-Mobile US Inc,20170220,Nikkei slips on yen  uncertainty on Trump policies ,TOKYO  Feb 20 Japanese shares fell for a third consecutive session on Monday as the yen's gains and uncertainty about U.S. economic policies prompted profit-taking.,normal
UIHC,United Insurance Holdings Corp,20170220,BRIEF-United Insurance Holdings reports Q4 loss per share of $0.49 ,* United Insurance Holdings Corp reports financial results for its fourth quarter ended December 31  2016,topStory
VOD,Vodafone Group Plc,20170220,Spark asks court to suspend Sky takeover of Vodafone NZ ,WELLINGTON Telecommunications company Spark  has asked a New Zealand court to rule a 36-hour pause must take place before Sky Network Television  can buy Vodafone's New Zealand unit  if the competition regulator approves the deal.,topStory
VOD,Vodafone Group Plc,20170220,UPDATE 2-Spark asks court to suspend Sky takeover of Vodafone NZ ,WELLINGTON  Feb 20 Telecommunications company Spark has asked a New Zealand court to rule a 36-hour pause must take place before Sky Network Television can buy Vodafone's New Zealand unit if the competition regulator approves the deal.,normal
WEN,Wendy&#39;s Company (The),20170220,BRIEF-Delight Restaurant Group announces acquisition of 30 Wendy's restaurants from The Wendy's Company ,* Delight Restaurant Group announces acquisition of 30 Wendy's restaurants from The Wendy's Company as part of the company's previously announced system optimization initiative  Source text for Eikon:  Further company coverage:,topStory
ABB,ABB Ltd,20170220,EU mergers and takeovers (Feb 20) ,BRUSSELS  Feb 20 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
AET,Aetna Inc,20170220,EU mergers and takeovers (Feb 20) ,BRUSSELS  Feb 20 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BABA,Alibaba Group Holding Limited,20170220,Reliance's Jio hails Uber ride in payments battle with PayTM ,MUMBAI  Feb 20 Uber users in India  who until now had Chinese Internet giant Alibaba-backed PayTM as the only payment wallet option available to book a ride  will now be able to pay through Reliance Jio Infocomm's Jio Money.,topStory
BABA,Alibaba Group Holding Limited,20170220,Alibaba expands bricks-and-mortar retail push with Bailian deal ,BEIJING China's Alibaba Group Holding Ltd said it formed a strategic partnership with Bailian Group  the largest retailer by store numbers to join the e-commerce giant's drive to use big data to improve and profit from brick-and-mortar sales.,normal
BABA,Alibaba Group Holding Limited,20170220,UPDATE 2-Alibaba expands bricks-and-mortar retail push with Bailian deal ,* Follows stake taken in Suning Commerce  plans to control Intime,normal
BABA,Alibaba Group Holding Limited,20170220,Sun Art Retail offers downbeat outlook after Alibaba denial sends shares tumbling ,Hong Kong China's Sun Art Retail Group Ltd  offered a slightly downbeat outlook for growth in its mainstay hypermarket business on Monday  as investors dumped its stock after hopes for a tie-up with Alibaba Group Holding Ltd  were dashed.,normal
BABA,Alibaba Group Holding Limited,20170220,UPDATE 2-Sun Art Retail offers downbeat outlook after Alibaba denial sends shares tumbling ,* Says does not rule out online tie-up   (Adds Sun Art comments  context),normal
BABA,Alibaba Group Holding Limited,20170220,BRIEF-Globe Telecom clarifies on news stating Alibaba owner to invests in co's unit ,* clarifies on news article titled “Alibaba owner invests in Globe unit” in the philippine star,normal
BABA,Alibaba Group Holding Limited,20170220,Alibaba forms partnership with supermarket operator Bailian Group ,SHANGHAI  Feb 20 Chinese tech giant Alibaba Group Holdings Ltd has formed a strategic partnership with supermarket operator Bailian Group  extending its push into bricks-and-mortar retail as online growth slows.,normal
ARNC,Arconic Inc,20170220,Aluminium producer seeks Q2 premium of $125/T from Japan buyers -sources ,TOKYO  Feb 20 A major aluminium producer has made an indicative offer of a premium of $125 per tonne to Japanese buyers for April-June primary metal shipments  up 32 percent from the last quarter  three sources directly involved in pricing talks said on Monday.,normal
AZN,Astrazeneca PLC,20170220,BRIEF-AstraZeneca sells U.S. Zoladex rights to tersera ,* Enters agreement with tersera therapeutics for zoladex in us and canada,topStory
ALV,Autoliv Inc,20170220,BRIEF-Autoliv declares quarterly dividend of 60 cents/share ,* Says has declared a quarterly dividend of 60 cents per share for the second quarter 2017  an increase of 2 cents per share from the previous level  Source text for Eikon:  Further company coverage:   (Stockholm Newsroom),topStory
AVT,Avnet Inc,20170220,EU mergers and takeovers (Feb 20) ,BRUSSELS  Feb 20 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BBL,BHP Billiton plc,20170220,Government-mediated talks between Escondida union  BHP fail ,SANTIAGO A government-mediated meeting between BHP Billiton and striking workers at its Escondida copper mine in Chile has failed  and workers will head back to their encampment without any future dialogue planned  a union spokesman said on Monday.,topStory
BBL,BHP Billiton plc,20170220,UPDATE 1-Government-mediated talks between Escondida union  BHP fail ,SANTIAGO  Feb 20 A government-mediated meeting between BHP Billiton and striking workers at its Escondida copper mine in Chile has failed  and workers will head back to their encampment without any future dialogue planned  a union spokesman said on Monday.,normal
BBL,BHP Billiton plc,20170220,UPDATE 2-Escondida copper miners and BHP meet as strike drags on ,SANTIAGO  Feb 20 The union representing striking workers at Chilean copper mine Escondida and mine owner BHP Billiton Plc  sat down to talk on Monday afternoon after the government called a meeting in hopes of ending the 12-day-old strike.,normal
BIOA,BioAmber Inc,20170220,BRIEF-BioAmber CEO steps down  current COO Fabrice Orecchioni named President ,* BioAmber ceo steps down  current coo fabrice orecchioni named president,topStory
BRO,Brown & Brown Inc,20170220,Lloyd's of London names Carnegie-Brown as chairman ,Lloyd's of London  the world's biggest specialty insurance market  appointed Bruce Carnegie-Brown as chairman  it said on Monday  after his nomination was unanimously supported by its council.,topStory
BRO,Brown & Brown Inc,20170220,BRIEF-Lloyd's of London names Bruce Carnegie-Brown as chairman ,* Carnegie-Brown is to become chairman following meeting of council where appointment was approved unanimously,normal
CE,Celanese Corporation,20170220,BRIEF-Celanese announces acetic acid price increase in China ,* Celanese announces acetic acid price increase in China  Source text for Eikon: Further company coverage:,topStory
CHA,China Telecom Corp Ltd,20170220,BRIEF-Netlinkz Ltd signs agreement with Jiannan Information Technology ,* Netlinkz signs China JV  testing phase with China Telecom-Net.ax,topStory
CHU,China Unicom (Hong Kong) Ltd,20170220,BRIEF-China Unicom Hong Kong says Jan aggregate number of mobile billing subscribers 265.088 million ,* Jan aggregate number of mobile billing subscribers 265.088 million,topStory
C,Citigroup Inc,20170220,FOREX-Euro inches higher in face of French politics ,LONDON  Feb 20 The euro rode out signs of gains for far-right French presidential candidate Marine Le Pen on Monday  inching higher against the dollar and the yen in trade held in check by the absence of U.S. investors because of a holiday.,topStory
C,Citigroup Inc,20170220,UPDATE 1-South African watchdog fines Citi $5 mln to settle currency rigging probe ,JOHANNESBURG  Feb 20 South Africa's Competition Commission has fined the local arm of Citigroup 69.5 million rand ($5.3 million) for its role in a foreign currency trading cartel  the regulator said on Monday.,normal
C,Citigroup Inc,20170220,Citi to improve internal systems after pays fine for South Africa forex collusion ,JOHANNESBURG  Feb 20 Citibank  N.A. South Africa said on Monday it aimed to improve its internal systems and monitoring processes after it agreed to pay a 69.5 million rand ($5 million) penalty for its role in a forex trading cartel.,normal
C,Citigroup Inc,20170220,South Africa watchdog settles with Citi over currency rigging ,JOHANNESBURG  Feb 20 South Africa's Competition Commission has reached an agreement with Citibank N.A. for its role in a forex trading cartel  the anti-trust watchdog said on Monday.,normal
C,Citigroup Inc,20170220,BRIEF-SA's competition body reaches settlement with Citi over forex probe ,* Has filed with competition tribunal a settlement agreement reached with Citibank N.A. For being part of forex trading cartel,normal
CYH,Community Health Systems Inc,20170220,BRIEF-Community Health Systems reports Q4 loss per share of $1.99 ,* Community health systems  inc. Announces fourth quarter and year-end 2016 results and 2017 guidance,topStory
CUB,Cubic Corporation,20170220,BRIEF-Cubic Corp announces semiannual dividend of $0.135 cents/share ,* Board of directors approved a regular semiannual dividend of $0.135 cents per share  payable on March 14  2017  Source text for Eikon: Further company coverage:,topStory
CB,D/B/A Chubb Limited New,20170220,BRIEF-Chubb appoints Adrian Matthews as COO Continental Europe ,* Chubb appoints Adrian Matthews as chief operating officer  continental Europe,topStory
DB,Deutsche Bank AG,20170220,MOVES-Deutsche Bank's M&A chief Piquemal becomes France country officer as well ,PARIS  Feb 20 Deutsche Bank appointed its global head of mergers and acquisitions Thomas Piquemal as chief country officer for France as well on Monday.,topStory
EQT,EQT Corporation,20170220,EU mergers and takeovers (Feb 20) ,BRUSSELS  Feb 20 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
F,Ford Motor Company,20170220,RPT-Ford sees big Russia gamble vindicated as sales finally turn corner ,MOSCOW  Feb 19 Ford has become the first major foreign carmaker in Russia to see sales grow after three bad years  potentially vindicating its decision to double down on a notoriously volatile market when rivals decided to cut and run.,topStory
FET,Forum Energy Technologies Inc,20170220,BRIEF-Forum Energy Technologies appoints Prady Iyyanki as CEO ,* Prady Iyyanki succeeds Christopher Gaut  current chief executive officer who will become executive chairman  Source text for Eikon:  Further company coverage:,topStory
