ACRX,AcelRx Pharmaceuticals Inc,20180524,BRIEF-AcelRx Announces FDA Acceptance Of NDA For Dsuvia ,* ACELRX PHARMACEUTICALS INC - DSUVIA PDUFA DATE SET FOR NOVEMBER 3  2018,topStory,Strong Buy
FOXA,Twenty-First Century Fox Inc,20180524,Comcast prepares to top Disney's $50 billion offer for Fox ,Comcast Corp  confirmed on Wednesday it was preparing a higher  all-cash offer for most of the media assets of Twenty-First Century Fox   setting up a bidding war with rival Walt Disney Co   which already has agreed to a $52-billion deal with Fox. | Video ,normal,Unknown
AET,Aetna Inc,20180524,Aetna  still looking for scapegoat in HIV disclosure fiasco  sues plaintiffs firms ,Aetna has intensified its search for someone else to blame for a settlement notification fiasco that has so far put the company on the hook for nearly $20 million.,topStory,Strong Buy
AIG,American International Group Inc,20180524,BRIEF-AIG Names Lisa Sun As CEO Of AIG Insurance Company China Ltd ,* AIG NAMES LISA SUN AS CHIEF EXECUTIVE OFFICER OF AIG INSURANCE COMPANY CHINA  LTD.,topStory,Strong Buy
ALV,Autoliv Inc,20180524,BRIEF-Autoliv Announces Agreement With Cevian Regarding Veoneer ,* AUTOLIV INC SAYS PURSUANT TO AGREEMENT WITH CEVIAN  AUTOLIV AND VEONEER AGREED TO TAKE ACTION FOR VEONEER TO APPOINT MR. SYNNERGREN TO VEONEER'S BOARD FOLLOWING SPIN-OFF OF VEONEER,topStory,Strong Buy
AXS,Axis Capital Holdings Limited,20180524,BRIEF-Sharing Economy International - Unit Entered Into Amendment To A License Agreement With Ecrent Capital Holdings ,* SHARING ECONOMY INTERNATIONAL - UNIT ENTERED INTO AN AMENDMENT TO A LICENSE AGREEMENT  DATED MAY 8  2018 WITH ECRENT CAPITAL HOLDINGS LIMITED,topStory,Unknown
BCS,Barclays PLC,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
BBY,Best Buy Co Inc,20180524,Best Buy first-quarter comparable sales jump  shares up ,NEW YORK  May 24 Best Buy Co Inc  the No. 1 U.S. consumer electronics retailer  reported a forecast beating rise in same-store sales in the first quarter  helped by strong customer demand  sending its shares up 2 percent in premarket trade.,topStory,Sell
BBY,Best Buy Co Inc,20180524,US STOCKS-Wall St slips as Trump cancels N.Korea summit  targets car imports ,* Indexes down: Dow 0.54 pct  S&P 0.36 pct  Nasdaq 0.16 pct (Updates to early afternoon),normal,Sell
BBY,Best Buy Co Inc,20180524,US STOCKS-Wall St sinks as Trump cancels N.Korea summit  targets car imports ,* Indexes down: Dow 0.76 pct  S&P 0.53 pct  Nasdaq 0.44 pct (Changes comment  adds details  updates prices),normal,Sell
BBY,Best Buy Co Inc,20180524,US STOCKS-Wall St drops as Trump cancels N.Korea meet  adds to tariff fears ,* Indexes down: Dow 0.52 pct  S&P 0.50 pct  Nasdaq 0.42 pct (Updates to open),normal,Unknown
BBY,Best Buy Co Inc,20180524,US STOCKS-Wall St set to open lower as auto tariff threat weighs ,* Futures dip: Dow 0.23 pct  S&P 0.16 pct  Nasdaq 0.17 pct (Adds comment  adds details  updates prices),normal,Unknown
APRN,Blue Apron Holdings Inc,20180524,Kroger's meal kit deal reheats Blue Apron shares ,SAN FRANCISCO Shares of Blue Apron  climbed on Thursday after Kroger said it was buying Home Chef to broaden its menu in the home meal kit market while stock of Calavo Growers  whose unit partnered with Kroger on another meal kit service  slumped.,topStory,Strong Buy
BA,Boeing Company (The),20180524,Boeing wins $416 mln U.S. defense contract -Pentagon ,WASHINGTON  May 24 Boeing Co has been awarded a $416 million modification  to a contract for the manufacture and delivery of P-8A multi-mission maritime aircraft for the U.S. Navy  the Pentagon said in a statement on Thursday. (Reporting by Mohammad Zargham Editing by Eric Walsh),topStory,Unknown
BAK,Braskem SA,20180524,Brazil's Braskem says Odebrecht denies acquisition proposal from LyondellBasell ,SAO PAULO  May 24 Brazilian construction firm Odebrecht SA on Thursday denied receiving a proposal from LyondellBaseel Industries NV to buy its controlling stake in Brazilian petrochemical company Braskem SA  Braskem said in a securities filing on Thursday.,topStory,Unknown
BAK,Braskem SA,20180524,LyondellBasel valued Braskem at $11.4 billion in offer: report ,SAO PAULO LyondellBasell Industries  has valued Brazilian petrochemical company Braskem SA  at 41.5 billion reais ($11.4 billion) in an offer to Brazilian conglomerate Odebrecht SA months ago  newspaper Valor Econômico reported on Thursday.,normal,Unknown
