RYAAY,Ryanair Holdings plc,20180530,Ryanair has option to buy all of Laudamotion ,VIENNA  May 30 Irish airline Ryanair has agreed an option with Niki Lauda that could see it take full ownership of the Laudamotion leisure airline in four years  the company said on Wednesday.,normal,Unknown
RYAAY,Ryanair Holdings plc,20180530,Ryanair's UK pilot union threatens strike action over promotion system ,DUBLIN The union representing Ryanair  pilots in Britain  the airline's largest market  has threatened possible strike action unless the company implements a transparent system to manage promotions and transfers  according to a letter seen by Reuters.,normal,Unknown
RYAAY,Ryanair Holdings plc,20180530,UPDATE 2-Ryanair's UK pilot union threatens strike action over promotion system ,DUBLIN  May 30 The union representing Ryanair pilots in Britain  the airline's largest market  has threatened possible strike action unless the company implements a transparent system to manage promotions and transfers  according to a letter seen by Reuters.,normal,Unknown
TSLA,Tesla Inc ,20180530,Consumer Reports recommends Tesla's Model 3 after braking fix ,Influential U.S. magazine Consumer Reports said on Wednesday it was recommending Tesla Inc's Model 3 sedan after its latest tests showed that a firmware update improved the car's braking distance by nearly 20 feet.,topStory,Unknown
TSLA,Tesla Inc ,20180530,UPDATE 3-Consumer Reports recommends Tesla's Model 3 after braking fix ,May 30 Influential U.S. magazine Consumer Reports said on Wednesday it was recommending Tesla Inc's Model 3 sedan after its latest tests showed that a firmware update improved the car's braking distance by nearly 20 feet.,normal,Unknown
TSLA,Tesla Inc ,20180530,Consumer Reports now recommends Tesla's Model 3 ,May 30 Consumer Reports said on Wednesday it now recommends Tesla Inc's Model 3  after the influential U.S. magazine's testers found that a recent over-the-air update improved the car's braking distance by nearly 20 feet.,normal,Unknown
TSLA,Tesla Inc ,20180530,Tesla hits parked California police vehicle; driver blames 'Autopilot' ,WASHINGTON The driver of a Tesla Inc  Model S crashed into an unoccupied  parked police vehicle in Laguna Beach  California  on Tuesday and the driver told investigators the Tesla was in "Autopilot" mode at the time  police said. | Video ,normal,Unknown
TXMD,TherapeuticsMD Inc,20180530,TherapeuticsMD's therapy for menopause-related condition gets approval ,Women's healthcare company TherapeuticsMD Inc won its first-ever U.S. approval on Wednesday with the drug regulator clearing its hormone therapy for a painful condition triggered by menopause after rejecting it a year earlier.,topStory,Unknown
TXMD,TherapeuticsMD Inc,20180530,UPDATE 2-TherapeuticsMD's therapy for menopause-related condition gets approval ,* Shares volatile; last down 2 pct (Adds analyst  CEO comment  share movement),normal,Sell
TXMD,TherapeuticsMD Inc,20180530,FDA approves TherapeuticsMD's hormone therapy ,May 30 The U.S. Food and Drug Administration approved TherapeuticsMD Inc's hormone therapy for a painful condition triggered by menopause  the women's health company said on Wednesday.,normal,Unknown
USEG,US Energy Corp,20180530,How Kinder Morgan won a billion-dollar bailout on Canada pipeline ,OTTAWA/HOUSTON U.S. energy firm Kinder Morgan's C$4.5 billion sale of an oil pipeline to Canada's government marked an extraordinary escape from months of fraught negotiations among warring camps of Canadian officials.,topStory,Unknown
USEG,US Energy Corp,20180530,INSIGHT-How Kinder Morgan won a billion-dollar bailout on Canada pipeline ,OTTAWA/HOUSTON  May 30 U.S. energy firm Kinder Morgan's C$4.5 billion sale of an oil pipeline to Canada's government marked an extraordinary escape from months of fraught negotiations among warring camps of Canadian officials.,normal,Sell
ZNGA,Zynga Inc,20180530,'Words with Friends' maker Zynga buys Gram Games for $250 million ,Zynga Inc  has bought mobile gaming startup Gram Games for $250 million to boost its portfolio of franchise-based titles  it said on Wednesday.,topStory,Unknown
ZNGA,Zynga Inc,20180530,'Words with Friends' maker Zynga buys Gram Games for $250 mln ,May 30 Zynga Inc has bought mobile gaming startup Gram Games for $250 million to boost its portfolio of franchise-based titles  it said on Wednesday.,normal,Unknown
