BP,BP plc,20121011,WRAPUP 1-BP to export US crude to Canada  Shell seeks permit ,NEW YORK/HOUSTON  Oct 11 Oil major BP Plc  has secured U.S. government permission to ship U.S. crude oil to Canada  and Royal Dutch Shell has applied for an export license  as rising production in the world's top oil consumer upends global energy flows.,normal
BP,BP plc,20121011,BP has received US crude oil export permit - source ,HOUSTON  Oct 11 BP Plc received a crude export license this summer from the Bureau of Industry and Security  a branch of the US Commerce Department  a source familiar with the issue said on Thursday.,normal
BP,BP plc,20121011,UPDATE 1-TNK-BP head of upstream to leave company-sources ,* Highest ranking exec to leave since shareholders fell out,normal
BP,BP plc,20121011,TNK-BP head of upstream to leave company-sources ,MOSCOW  Oct 11 The head of upstream at Russia's TNK-BP will leave the company  the highest-ranking executive to depart in an exodus of staff as a potential selloff by the main shareholders looms  sources close to TNK-BP said on Thursday.,normal
BP,BP plc,20121011,Oil sheen near BP Gulf spill site from Macondo well: U.S. ,HOUSTON An oil sheen spotted on the Gulf of Mexico near the site of the sunken Deepwater Horizon rig matches samples from BP Plc's ill-fated Macondo well  the U.S. Coast Guard said.,normal
BP,BP plc,20121011,UPDATE 1-Oil sheen near BP Gulf spill site from Macondo well -US ,* BP says sheen likely emanating from bent riser pipe on sea floor,normal
BP,BP plc,20121011,North Sea Crude-BP buys 4th Forties this week ,* Forties steady at dated Brent plus 70 cents     * North Sea output to fall by 1 percent in November     * Swaps in backwardation      LONDON  Oct 11 North Sea Forties crude differentials remained at a strong premium to dated Brent on Thursday  supported by demand from BP  signs of tight supply in November and expectations of stronger refinery demand.     BP purchased its fourth cargo this week on Thursday and rival traders expect the oil to be loaded onto a Very Large Crude Carrier,normal
BP,BP plc,20121011,UPDATE 3-Azeri president attacks BP over low oil output ,BAKU/LONDON  Oct 11 Azerbaijan accused BP  on Wednesday of making "false promises" on oil output and said the state had missed out on $8 billion of potential revenues from what is one of the company's biggest projects in the world.,normal
BAK,Braskem SA,20121011,Novatek to supply naphtha to Braskem ,MOSCOW  Oct 11 Novatek  Russia's top non-state natural gas producer  has won a deal to supply naphtha to Brazilian group Braskem from its Baltic terminal of Ust-Luga.,topStory
BAM,Brookfield Asset Management Inc,20121011,BRIEF-Brookfield Asset Management CEO Flatt says sale of GGP would be premature ,Oct 11 Brookfield Asset Management Inc :  * CEO flatt says it's "too early" to sell General Growth Properties Inc,topStory
BT,BT Group plc,20121011,Britain scrutinizes Huawei's telecoms infrastructure role ,LONDON Britain's parliamentary intelligence and security watchdog is scrutinizing Chinese telecoms giant Huawei Technologies Co as concerns mount on both sides of the Atlantic over the potential security threat stemming from the firm's access to communication infrastructure.,topStory
BT,BT Group plc,20121011,Britain scrutinizes Huawei's telecoms infrastructure role ,* Huawei  BT say relationship managed in accordance with law,normal
BT,BT Group plc,20121011,MALAYSIA-PRESS-Maybank not keen on General Electric's Bank of Ayudhya stake-BT ,NOTE: Reuters has not verified this story and does not vouch for its accuracy.,normal
BPL,Buckeye Partners LP,20121011,Buckeye rejects allegations it overcharges to transport jet fuel ,Buckeye Partners LP  rejected allegations by four major U.S. airlines that it was overcharging to transport jet fuel to New York City area airports and requested that the Federal Energy Regulatory Commission dismiss the complaint.,topStory
BPL,Buckeye Partners LP,20121011,Buckeye rejects allegations it overcharges to transport jet fuel ,Oct 11 Buckeye Partners LP rejected allegations by four major  U.S. airlines that it was overcharging to transport jet fuel to New York City area airports and requested that the Federal Energy Regulatory Commission dismiss the complaint.,normal
CP,Canadian Pacific Railway Limited,20121011,UPDATE 1-CP Rail CFO McQuade to retire  latest exec to leave ,Oct 11 Canadian Pacific Railway said on Thursday that its chief financial officer  Kathryn McQuade  will retire on Nov. 1  the fourth senior executive to leave Canada's second-largest railroad after a bruising proxy battle earlier this year.,topStory
CP,Canadian Pacific Railway Limited,20121011,Canadian Pacific CFO McQuade to retire ,Oct 11 Canadian Pacific Railway said on Thursday that its chief financial officer  Kathryn McQuade  would retire on Nov. 1.,normal
CAT,Caterpillar Inc,20121011,Two of Caterpillar's five group presidents retiring ,Oct 11 Two of Caterpillar Inc's five group presidents are retiring  a loss of key talent as the world's largest maker of tractors  excavators and other heavy equipment tries to navigate the rough global economy.,topStory
CHD,Church & Dwight Company Inc,20121011,Pope acknowledges "bad fish" in Church ,VATICAN CITY Pope Benedict urged lapsed and lukewarm Roman Catholics on Thursday to rediscover their faith but acknowledged there are "bad fish" in the Church itself.,topStory
C,Citigroup Inc,20121011,New Issue-Nestle Finance prices 500 mln euro 2016 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 50.1bp,topStory
CEO,CNOOC Limited,20121011,Canada extends review of CNOOC-Nexen deal by 30 days ,OTTAWA Canada said it needs more time to complete its review of a $15.1 billion Chinese bid to take over oil and gas explorer Nexen Inc   a deal that has raised fears about opening the Canadian energy sector to the Asian power's state-owned companies.,topStory
CEO,CNOOC Limited,20121011,UPDATE 3-Canada extends review of CNOOC-Nexen deal by 30 days ,* Security  safety will form part of review  says minister,normal
CEO,CNOOC Limited,20121011,Canada minister: CNOOC bid being reviewed for security ,CALGARY  Alberta A Canadian government review of the $15.1 billion Chinese bid for Nexen Inc  will take security concerns into consideration in addition to a broader economic analysis of the transaction  Public Safety Minister Vic Toews said on Thursday.,normal
CEO,CNOOC Limited,20121011,Canada minister: CNOOC bid being reviewed for security ,* Toews says cabinet looks at foreign bids for security issues,normal
CEO,CNOOC Limited,20121011,Canada extends review of CNOOC-Nexen deal by 30 days ,TORONTO  Oct 10 Canada said on Thursday it has extended its review of a $15.1 billion bid by China's CNOOC Ltd  for Canadian energy producer Nexen Inc.,normal
CEO,CNOOC Limited,20121011,Ex-central banker says Canada should approve CNOOC bid for Nexen ,OTTAWA Canada should allow China's state-owned CNOOC Ltd to buy Canadian oil company Nexen Inc  a former central bank chief said on Wednesday  brushing aside arguments that oil is a "strategic" resource off-limits to foreigners.,normal
CEO,CNOOC Limited,20121011,Ex-central banker says Canada should approve CNOOC bid for Nexen ,OTTAWA  Oct 10 Canada should allow China's state-owned CNOOC Ltd to buy Canadian oil company Nexen Inc  a former central bank chief said on Wednesday  brushing aside arguments that oil is a "strategic" resource off-limits to foreigners.,normal
KO,Coca-Cola Company (The),20121011,PRESS DIGEST - Financial Times - Oct 12 ,Indonesia's Bakrie family has proposed splitting from financier Nat Rothschild and Bumi Plc after news of an inquiry into possible wrongdoing.,topStory
CTB,Cooper Tire & Rubber Company,20121011,India's Apollo Tyres eyeing Cooper Tire: source ,Indian tire manufacturer Apollo Tyres  is in early talks to acquire a majority stake in U.S.-based Cooper Tire & Rubber Co  in a deal valued at around $600 million  a source with direct knowledge of the situation told Reuters.,topStory
DB,Deutsche Bank AG,20121011,Deutsche Bank audit committee head to leave in 2013 ,FRANKFURT  Oct 11 Karl-Gerhard Eick  chairman of the audit committee at Deutsche Bank  said on Thursday he would not seek to extend his term as a member of the bank's supervisory board  which expires in May 2013.,topStory
DB,Deutsche Bank AG,20121011,New Issue-KfW prices 750 mln euro 2017 bond ,For news about this issuer  double click on the issuer RIC ,normal
DB,Deutsche Bank AG,20121011,DIARY-U.S. MEETINGS / DAY AHEAD ,THOMSON REUTERS  Corporate Meetings for US Companies Thursday  October 11  2012.       S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        Meetings - Weekly                   S&P 500 Earnings - Monthly          Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Reserve e,normal
DVN,Devon Energy Corporation,20121011,UPDATE 1-Devon Energy shuttering Houston office ,Oct 11 U.S. oil and gas company Devon Energy Corp said on Thursday it plans to close its 500-person office in Houston in a move that is expected to save $80 million a year.,topStory
XOM,Exxon Mobil Corporation,20121011,Iraq wants Russians to replace Exxon at West Qurna: report ,MOSCOW Iraq is considering replacing ExxonMobil with Russian companies at the supergiant West Qurna-1 oilfield  after the U.S. major angered Baghdad by venturing into Kurdistan  according to a media report citing industry sources.,topStory
XOM,Exxon Mobil Corporation,20121011,Iraq wants Russians to replace Exxon at West Qurna-report ,* Iraqi overture to be made to LUKOIL  Gazprom Neft - Nefte Compass,normal
XOM,Exxon Mobil Corporation,20121011,Exxon Mobil sees Scarborough LNG decision in 2013 ,MELBOURNE  Oct 11 Exxon Mobil Corp  expects to make a decision on how to develop the Scarborough gas field  considered one of the toughest projects in Western Australia  around the second half of 2013  its Australian chairman said on Thursday.,normal
FDX,FedEx Corporation,20121011,FedEx trims its view on 2013 global growth  U.S. view unchanged ,Package delivery company FedEx Corp  on Wednesday cut its forecast for global growth in 2013 for the second time this year  citing slower growth in China  recession in some European economies and high energy prices. | Video ,topStory
FOE,Ferro Corporation,20121011,BRIEF-Moody's changes Ferro's outlook to negative ,Oct 11 Ferro Corp :  * Moody's affirms ferro's ba3 ratings; outlook changed to negative  * Rpt-moody's affirms ferro's ba3 ratings; outlook changed to negative,topStory
FBR,Fibria Celulose SA,20121011,TEXT-Fitch cuts Suzano Papel e Celulose S.A. ratings ,(The following statement was released by the rating agency),topStory
F,Ford Motor Company,20121011,Ford touts 5 mpg edge of C-Max plug-in over Toyota Prius ,DETROIT  Oct 11 Ford Motor Co  vying to challenge Toyota Motor Corp's dominance in the hybrid market  said on Thursday that its 2013 C-Max Energi plug-in hybrid gets 100 miles per gallon  beating the 2012 Prius by about 5 percent.,topStory
IT,Gartner Inc,20121011,Lenovo knocks HP from top of global PC market: Gartner ,SAN FRANCISCO/HONG KONG China's Lenovo Group Ltd edged out Silicon Valley icon Hewlett-Packard Co to become the world's No. 1 PC maker in the third quarter  according to data released by research house Gartner on Wednesday. | Video ,topStory
IT,Gartner Inc,20121011,UPDATE 2-Lenovo knocks HP from top of global PC market -Gartner ,SAN FRANCISCO/HONG KONG  Oct 11 China's Lenovo Group Ltd edged out Silicon Valley icon Hewlett-Packard Co to become the world's No. 1 PC maker in the third quarter  according to data released by research house Gartner on Wednesday.,normal
GEK,General Electric Capital Corporation,20121011,MALAYSIA-PRESS-Maybank not keen on General Electric's Bank of Ayudhya stake-BT ,NOTE: Reuters has not verified this story and does not vouch for its accuracy.,topStory
GE,General Electric Company,20121011,MALAYSIA-PRESS-Maybank not keen on General Electric's Bank of Ayudhya stake-BT ,NOTE: Reuters has not verified this story and does not vouch for its accuracy.,topStory
GNW,Genworth Financial Inc,20121011,TEXT-S&P: Genworth Canada ratings unchanged by Genworth downgrade ,Oct 11 - Standard & Poor's Ratings Services said today that its 'AA-' financial strength rating and 'A-' issuer credit rating on Genworth Financial Mortgage Insurance Co. Canada and Genworth MI Canada Inc.  respectively (collectively referred to as Genworth Canada)  and the stable outlook on these ratings are unaffected by the recent downgrade of their ultimate parent and majority shareholder  Genworth Financial Inc. (GNW) to BBB-/Negative/A-3 from BBB/Negative/A-2. The ratings on the Genworth U,topStory
GNW,Genworth Financial Inc,20121011,TEXT-S&P cuts Genworth Financial to 'BBB-' ,Overview      -- Earnings have not met our expectations for the rating level and  financial flexibility continues to be strained.      -- We are lowering our ratings on Genworth Financial Inc.  Genworth Life  Insurance Co.  and core U.S. life operations.      -- The negative outlook on the holding company hinges primarily on the  execution of the strategic review conducted by management and the board.      -- The outlook on the U.S. life operations is stable.  Rating Action On Oct. 11  2012  Sta,normal
GGP,GGP Inc,20121011,BRIEF-Brookfield Asset Management CEO Flatt says sale of GGP would be premature ,Oct 11 Brookfield Asset Management Inc :  * CEO flatt says it's "too early" to sell General Growth Properties Inc,topStory
GS,Goldman Sachs Group Inc (The),20121011,Trial date set in SEC case against Goldman's Tourre ,NEW YORK A federal judge on Thursday set a trial date for the only Goldman Sachs Group Inc employee charged in the government's civil fraud case over the bank's Abacus subprime mortgage deal.,topStory
GS,Goldman Sachs Group Inc (The),20121011,Goldman CEO: I'll pay 5 percent more in taxes for budget deal ,WASHINGTON  Oct 11 Goldman Sachs chief executive  Lloyd Blankfein  became the latest big-name business leader to pledge to pay steeper tax - 5 percent  he said - in exchange for a long-term bipartisan deal in Congress to keep the country from falling off the "fiscal cliff.",normal
GS,Goldman Sachs Group Inc (The),20121011,MegaFon seeks IPO investors with governance pledge ,* Says board will reflect importance of corporate governance,normal
GS,Goldman Sachs Group Inc (The),20121011,Factbox: Lawsuit accuses buyout firms of collusion ,Top executives at some of the world's largest private equity firms  including KKR & Co LP  and Blackstone Group LP   sent emails that allegedly show them plotting to scoop up companies on the cheap during last decade's buyout boom  according to court documents unsealed on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20121011,Goldman says probe into ex-worker's claims turns up nothing: FT ,Goldman Sachs Group Inc's  internal probe of allegations by former employee Greg Smith  who called the Wall Street titan a "toxic" place where managing directors referred to their own clients as "muppets " has found little substance to back them  the Financial Times reported on Wednesday.,normal
HRB,H&R Block Inc,20121011,BRIEF-Moody's: H&R Block sale of bank could be a credit negative ,Oct 11 H&R Block:  * Moody's says h&r block's (baa2  negative) sale of its bank could be a credit,topStory
HD,Home Depot Inc (The),20121011,Permanent fix of U.S. housing to take time: Home Depot CEO ,NEW YORK The U.S. housing market is starting to thaw  but it could be two years before a full-blown recovery takes hold  Home Depot Inc  Chief Executive Frank Blake said on Thursday.,topStory
HD,Home Depot Inc (The),20121011,Home Depot  Target could see CDS reverse course ,Oct 11 (IFR) - The CDS of big box retailers Home Depot and Target have tightened significantly in recent months  but have the potential to widen in the months ahead as consumer spending is expected to increase only moderately.,normal
HHC,Howard Hughes Corporation (The),20121011,Land developer  IRS head for U.S. Tax Court on accounting fight ,WASHINGTON In a tax fight that could jolt the real estate business  Howard Hughes Corp is challenging the U.S. Internal Revenue Service over a $144.1 million tax bill stemming from land sales at Summerlin  an enormous planned community in southern Nevada.,topStory
HHC,Howard Hughes Corporation (The),20121011,Land developer  IRS head for U.S. Tax Court on accounting fight ,WASHINGTON  Oct 11 In a tax fight that could jolt the real estate business  Howard Hughes Corp is challenging the U.S. Internal Revenue Service over a $144.1 million tax bill stemming from land sales at Summerlin  an enormous planned community in southern Nevada.,normal
HPQ,HP Inc,20121011,Lenovo knocks HP from top of global PC market: Gartner ,SAN FRANCISCO/HONG KONG China's Lenovo Group Ltd edged out Silicon Valley icon Hewlett-Packard Co to become the world's No. 1 PC maker in the third quarter  according to data released by research house Gartner on Wednesday. | Video ,topStory
HPQ,HP Inc,20121011,UPDATE 2-Lenovo knocks HP from top of global PC market -Gartner ,SAN FRANCISCO/HONG KONG  Oct 11 China's Lenovo Group Ltd edged out Silicon Valley icon Hewlett-Packard Co to become the world's No. 1 PC maker in the third quarter  according to data released by research house Gartner on Wednesday.,normal
