ALDR,Alder BioPharmaceuticals Inc,20150515,BRIEF-Alder Biopharma says its single IV dose of ALD403 shows efficacy in treating migraine ,* Announced six-month follow-up data from phase 2 proof-of-concept clinical trial of ald403,topStory
LBTYK,Liberty Global plc,20150515,UPDATE 1-Buffett's Berkshire adds to favorites IBM  Wells Fargo ,May 15 Warren Buffett's Berkshire Hathaway Inc  on Friday said it has boosted its holdings in some of the billionaire's favorite companies  including Wells Fargo & Co  and International Business Machines Corp.,normal
LILA,Liberty Global plc,20150515,UPDATE 1-Buffett's Berkshire adds to favorites IBM  Wells Fargo ,May 15 Warren Buffett's Berkshire Hathaway Inc  on Friday said it has boosted its holdings in some of the billionaire's favorite companies  including Wells Fargo & Co  and International Business Machines Corp.,normal
LILAK,Liberty Global plc,20150515,UPDATE 1-Buffett's Berkshire adds to favorites IBM  Wells Fargo ,May 15 Warren Buffett's Berkshire Hathaway Inc  on Friday said it has boosted its holdings in some of the billionaire's favorite companies  including Wells Fargo & Co  and International Business Machines Corp.,normal
LULU,lululemon athletica inc,20150515,Lululemon yoga pants lawsuit properly dismissed - U.S. appeals court ,A U.S. appeals court on Friday agreed with Lululemon Athletica Inc that a lawsuit accusing the retailer of defrauding shareholders by failing to reveal defects that caused yoga pants to become see-through was properly dismissed.,topStory
LULU,lululemon athletica inc,20150515,Lululemon yoga pants lawsuit properly dismissed: U.S. appeals court ,NEW YORK A U.S. appeals court on Friday agreed with Lululemon Athletica Inc that a lawsuit accusing the retailer of defrauding shareholders by failing to reveal defects that caused yoga pants to become see-through was properly dismissed.,normal
LULU,lululemon athletica inc,20150515,Lululemon yoga pants lawsuit properly dismissed -US appeals court ,NEW YORK  May 15 A U.S. appeals court on Friday agreed with Lululemon Athletica Inc that a lawsuit accusing the retailer of defrauding shareholders by failing to reveal defects that caused yoga pants to become see-through was properly dismissed.,normal
NFLX,Netflix Inc,20150515,US STOCKS-S&P ekes out second record close after lackluster data ,May 15 U.S. shares ended little changed on Friday  with the S&P 500 edging up to a record high for a second straight session after a ream of weak economic data.,topStory
NFLX,Netflix Inc,20150515,REFILE-US STOCKS-Wall St dips  S&P off peak  on lackluster data ,May 15 U.S. shares dipped on Friday and the S&P 500 eased off a recent record high as a ream of weak data stirred concerns about the economy's health.,normal
NFLX,Netflix Inc,20150515,US STOCKS-Wall St slips after weak economic data ,* Indexes down: Dow 0.07 pct  S&P 0.1 pct  Nasdaq 0.2 pct   (Updates to early afternoon),normal
NFLX,Netflix Inc,20150515,Netflix in talks with Jack Ma-backed Wasu to enter China: Bloomberg ,Video streaming company Netflix Inc  is in talks with Jack Ma-backed Wasu Media Holding Co  and other potential partners to enter China's booming online video market  Bloomberg reported  citing people familiar with the matter. | Video ,normal
NFLX,Netflix Inc,20150515,US STOCKS-Wall St slips after weak economic data ,* Indexes down: Dow 0.1 pct  S&P 0.1 pct  Nasdaq 0.2 pct   (Adds details  changes comment  updates prices),normal
NFLX,Netflix Inc,20150515,US STOCKS-Wall St little changed as industrial output falls ,* Indexes: Dow up 0.05 pct  S&P up 0.01 pct  Nasdaq down 0.01 pct   (Updates to open),normal
NFLX,Netflix Inc,20150515,US STOCKS-Wall St set to open higher as global bond selloff eases ,* Futures up: Dow 20 pts  S&P 2.25 pts  Nasdaq 10.25 pts   (Adds details  changes comment  updates prices),normal
NFLX,Netflix Inc,20150515,Netflix in talks with Jack Ma-backed Wasu to enter China -Bloomberg ,May 15 Video streaming company Netflix Inc  is in talks with Jack Ma-backed Wasu Media Holding Co  and other potential partners to enter China's booming online video market  Bloomberg reported  citing people familiar with the matter.,normal
RUSHA,Rush Enterprises Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
RUSHB,Rush Enterprises Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
SRNE,Sorrento Therapeutics Inc,20150515,CORRECTED-BRIEF-Sorrento Therapeutics says Nantworks agreed to buy Cynviloq ,* Nantworks acquires Cynviloq(TM) for up to $1.3+ billion  * Says under the terms of the agreement  Sorrento will receive more than $90 million in an up-front cash payment  * Says Sorrento has the option to co-develop and/or co-market cynviloq on terms to be negotiated  * Says Sorrento will also receive additional transfer pricing payments from total unit sales  * Says Nantpharma  to acquire rights to Cynviloq through acquisition of Igdrasol  a unit of Sorrento  * Says Sorrento will receive for ,topStory
ULTI,The Ultimate Software Group Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
ULTI,The Ultimate Software Group Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
VOD,Vodafone Group Plc,20150515,BRIEF-Vodafone-Panafon's squeeze-out right for Hellas Online shares approved ,* Says Vodafone-Panafon's squeeze-out right for its remaining shares has been approved,topStory
AET,Aetna Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
AET,Aetna Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
BABA,Alibaba Group Holding Limited,20150515,Alibaba sued in U.S. by luxury brands over counterfeit goods ,NEW YORK A group of luxury goods makers sued Alibaba Group Holding Ltd on Friday  contending the Chinese online shopping giant had knowingly made it possible for counterfeiters to sell their products throughout the world.,topStory
BABA,Alibaba Group Holding Limited,20150515,Alibaba sued in U.S. by luxury brands over counterfeit goods ,NEW YORK A group of luxury goods makers sued Alibaba Group Holding Ltd  on Friday  contending the Chinese online shopping giant had knowingly made it possible for counterfeiters to sell their products throughout the world.,normal
BABA,Alibaba Group Holding Limited,20150515,Alibaba sued in U.S. by luxury brands over counterfeit goods ,NEW YORK  May 15 A group of luxury goods makers sued Alibaba Group Holding Ltd on Friday  contending the Chinese online shopping giant had knowingly made it possible for counterfeiters to sell their products throughout the world.,normal
BABA,Alibaba Group Holding Limited,20150515,Top U.S. hedge funds boost Alibaba stakes in first quarter ,NEW YORK Top U.S. hedge fund managers increased their stakes in Alibaba Group Holding Ltd  at the end of the first quarter  positioning themselves to take advantage of any upswing after the Chinese e-commerce company's stock took a beating after a surprise revenue miss in January.,normal
BABA,Alibaba Group Holding Limited,20150515,UPDATE 2-Top U.S. hedge funds boost Alibaba stakes in first quarter ,NEW YORK  May 15 Top U.S. hedge fund managers increased their stakes in Alibaba Group Holding Ltd at the end of the first quarter  positioning themselves to take advantage of any upswing after the Chinese e-commerce company's stock took a beating after a surprise revenue miss in January.,normal
BABA,Alibaba Group Holding Limited,20150515,Daniel Loeb's Third Point dissolves stake in Alibaba ,NEW YORK  May 15 Hedge fund manager Daniel Loeb's Third Point LLC exited its position in Alibaba Group Holding Ltd at the end of the first quarter  the same period during which the Chinese e-commerce company posted a surprise revenue miss that sent its shares plunging.,normal
BABA,Alibaba Group Holding Limited,20150515,Taiwan orders Alibaba's Taobao out for rule violation - reports ,HONG KONG  May 15 Taiwan has ordered Alibaba's online marketplace Taobao to withdraw from the island within six months for violating investment rules required for a Chinese company  Chinese and Taiwanese media said on Thursday.,normal
AXP,American Express Company,20150515,UPDATE 1-Buffett's Berkshire adds to favorites IBM  Wells Fargo ,May 15 Warren Buffett's Berkshire Hathaway Inc  on Friday said it has boosted its holdings in some of the billionaire's favorite companies  including Wells Fargo & Co  and International Business Machines Corp.,normal
