CLNE,Clean Energy Fuels Corp,20170301,BRIEF-BP and Clean Energy partner to expand U.S. renewable natural gas transportation fueling capabilities ,* BP and Clean Energy partner to expand U.S. Renewable natural gas transportation fueling capabilities,normal
CMCSA,Comcast Corporation,20170301,Harry Potter conjures Japanese growth for Comcast ,HONG KONG (Reuters Breakingviews) - With Harry Potter's help  Comcast can conjure up growth in sleepy Japan. The biggest U.S. cable operator is paying 255 billion yen ($2.3 billion) to buy out Goldman Sachs and other partners in Universal Studios Japan. The Osaka theme park's success  thanks partly to the boy wizard  highlights a part of the economy where domestic consumption growth is no illusion.,topStory
CMCSA,Comcast Corporation,20170301,UPDATE 2-U.S. FCC blocks stricter broadband privacy rules from taking effect ,NEW YORK  March 1 U.S. regulators on Wednesday blocked some Obama administration rules on the eve of implementation  regulations that would have subjected broadband providers to stricter scrutiny than web sites face to protect customers' private data.,normal
CMCSA,Comcast Corporation,20170301,UPDATE 1-U.S. FCC blocks stricter broadband privacy rules from taking effect ,NEW YORK The U.S. Federal Communications Commission on Wednesday blocked some Obama administration rules approved last year that would have subjected broadband providers to stricter scrutiny than websites  a victory for internet providers such as AT&T Inc  Comcast Corp and Verizon Communications Inc .,normal
CMCSA,Comcast Corporation,20170301,U.S. FCC blocks stricter broadband privacy rules from taking effect ,NEW YORK  March 1 The U.S. Federal Communications Commission on Wednesday blocked some Obama administration rules approved last year that would have subjected broadband providers to stricter scrutiny than websites  a victory for internet providers such as AT&T Inc   Comcast Corp and Verizon Communications Inc  .,normal
CMTL,Comtech Telecommunications Corp,20170301,BRIEF-Comtech Telecom secures $4.5 million agreement for navigation  telematics services ,* Comtech Telecommunications Corp. secures $4.5 million agreement for navigation and telematics services,topStory
CNFR,Conifer Holdings Inc,20170301,BRIEF-Conifer Q4 loss per share $1.11 ,* Conifer Holdings reports 2016 fourth quarter and year end financial results,topStory
CORE,Core-Mark Holding Company Inc,20170301,BRIEF-Core-Mark Q4 non-gaap EPS $0.45 excluding items ,* Core-Mark announces 2016 fourth quarter and full year financial results,topStory
CORE,Core-Mark Holding Company Inc,20170301,BRIEF-Core-Mark Holding Co reports Q4 diluted EPS $0.41 ,* Core-Mark Holding Company Inc - expect 2017 sales of $15.2 billion to $15.5 billion,normal
CRAI,CRA InternationalInc,20170301,BRIEF-CRA International Q4 non-GAAP earnings per share $0.24 ,* Charles River Associates (CRA) announces fourth-quarter and full-year fiscal 2016 financial results,topStory
BREW,Craft Brew Alliance Inc,20170301,Kona beer is not from Hawaii  consumers say in lawsuit ,The maker of Kona craft beer was sued on Tuesday by two California shoppers who claim they were deceived into believing the beer was made in Hawaii  causing them to overpay for it.,topStory
CROX,Crocs Inc,20170301,BRIEF-Crocs Q4 GAAP loss per share $0.60 ,* Qtrly revenues were in line with guidance at $187.4 million compared to $208.7 million for same period last year,topStory
CCRN,Cross Country Healthcare Inc,20170301,BRIEF-Cross Country Healthcare q4 loss per share $0.24 ,* Cross Country Healthcare announces fourth quarter and full year 2016 financial results,topStory
CYRX,CryoPort Inc,20170301,BRIEF-Cryoport Inc says launch of Cryostork next flight out for reproductive health market ,* Cryoport Inc says launch of Cryostork next flight out for reproductive health market  Source text for Eikon: Further company coverage:,topStory
DISH,DISH Network Corporation,20170301,BRIEF-Echostar says announced consummation on February 28  2017 of share exchange agreement executed in January with Dish Network Corporation ,* Says announced consummation on February 28  2017 of share exchange agreement executed in January with Dish Network Corporation,topStory
DLTR,Dollar Tree Inc,20170301,BRIEF-Dollar Tree - "We are going to watch everyone this year as we go into price checks ...we will react accordingly" ,* At conf call - operate 226 stores in canada and believe we have an opportunity for 1000 stores over time,topStory
DLTR,Dollar Tree Inc,20170301,Dollar Tree's profit  sales beat estimates ,Dollar Tree Inc   the biggest U.S. dollar-store chain  reported better-than-expected quarterly profit and sales on Wednesday  helped by lower costs and higher customer spending in its stores.,normal
DLTR,Dollar Tree Inc,20170301,UPDATE 1-Dollar Tree's profit  sales beat estimates ,March 1 Dollar Tree Inc  the biggest U.S. dollar-store chain  reported better-than-expected quarterly profit and sales on Wednesday  helped by lower costs and higher customer spending in its stores.,normal
DLTR,Dollar Tree Inc,20170301,Dollar Tree's sales rise 5 pct ,March 1 Dollar Tree Inc  the biggest U.S. dollar-store chain  reported a 5 percent rise in quarterly net sales on Wednesday  as more customers visited its stores and also spent more on average.,normal
EGRX,Eagle Pharmaceuticals Inc,20170301,BRIEF-Eagle Pharmaceuticals posts Q4 earnings per share $3.52 ,* Eagle Pharmaceuticals Inc reports fourth quarter and full year 2016 results,topStory
EML,Eastern Company (The),20170301,Egypt's Eastern Co  Philip Morris reach agreement over arrears ,CAIRO Egypt's top cigarette maker Eastern Company said on Thursday it had reached an agreement with its international partner Philip Morris for the tobacco giant to pay back outstanding debt and make future payments in the local currency.,topStory
EML,Eastern Company (The),20170301,REFILE-Egypt's Eastern Co  Philip Morris reach agreement over arrears ,CAIRO  March 1 Egypt's top cigarette maker Eastern Company said on Wednesday it had reached an agreement with its international partner Philip Morris for the tobacco giant to pay back outstanding debt and make future payments in the local currency.,normal
SATS,EchoStar Corporation,20170301,BRIEF-Echostar says announced consummation on February 28  2017 of share exchange agreement executed in January with Dish Network Corporation ,* Says announced consummation on February 28  2017 of share exchange agreement executed in January with Dish Network Corporation,topStory
EDGW,Edgewater Technology Inc,20170301,BRIEF-Edgewater Q4 loss per share $0.28 ,* Edgewater reports fourth quarter and full year 2016 results,topStory
EVEP,EV Energy Partners LP,20170301,BRIEF-EV Energy Partners reports Q4 loss per share $3.31 ,* EV Energy Partners announces fourth quarter and full year 2016 results  additional commodity hedges  year-end proved reserves and 2017 guidance,topStory
EXLS,ExlService Holdings Inc,20170301,BRIEF-Exlservice Holdings files for non-timely 10-K ,* Files for non-timely 10-K - SEC filing  Source text: (http://bit.ly/2mfrHIh) Further company coverage:,topStory
FB,Facebook Inc,20170301,Exclusive: SEC advisory committee to question Snap's transparency for investors ,BOSTON An investor committee that advises the U.S. Securities and Exchange Commission will next week review if Snap Inc's decision to deny shareholders voting rights might also reduce the social media company's public disclosures on executive pay and other governance matters  the head of that committee told Reuters on Wednesday.,topStory
FB,Facebook Inc,20170301,Snap advertisers worry about measurement even as they 'lean in' ,NEW YORK As Snap Inc looks to gobble up a larger share of the $82 billion digital U.S. ad market  the owner of the ephemeral messaging app popular with millennials could find itself facing more demands from advertisers for reliable metrics.,normal
FB,Facebook Inc,20170301,Facebook's Oculus cuts price of virtual reality set by $200 ,SAN FRANCISCO Facebook Inc's virtual reality unit Oculus has cut $200 from the total price of its flagship hardware set  in a bid to expand the system's base of video game players  the company said on Wednesday. | Video ,normal
FB,Facebook Inc,20170301,UPDATE 2-Facebook's Oculus cuts price of virtual reality set by $200 ,SAN FRANCISCO  March 1 Facebook Inc's virtual reality unit Oculus has cut $200 from the total price of its flagship hardware set  in a bid to expand the system's base of video game players  the company said on Wednesday.,normal
FB,Facebook Inc,20170301,Oculus cuts price for Rift and Touch ,March 1 Facebook Inc's virtual reality unit Oculus said on Wednesday it has cut the all-in price for its Rift and Touch products by $200.,normal
FB,Facebook Inc,20170301,Snap advertisers worry about measurement even as they 'lean in' ,NEW YORK  March 1 As Snap Inc looks to gobble up a larger share of the $82 billion digital U.S. ad market  the owner of the ephemeral messaging app popular with millennials could find itself facing more demands from advertisers for reliable metrics.,normal
FGEN,FibroGen Inc,20170301,BRIEF-Fibrogen Inc files for potential mixed shelf offering ,* Fibrogen Inc files for potential mixed shelf offering; size not disclosed  Source text:(http://bit.ly/2mGofE4) Further company coverage:,topStory
FGEN,FibroGen Inc,20170301,BRIEF-Fibrogen reports fiscal 2016 financial results ,* Sees to report pamrevlumab topline phase 2 ipf data  placebo-controlled and combination treatment sub-study results  in q3,normal
FBNK,First Connecticut Bancorp Inc,20170301,BRIEF-First Connecticut Bancorp increases quarterly dividend $0.02 ,* First connecticut bancorp  inc. Increases quarterly dividend $0.02 and sets date for annual stockholders meeting,topStory
FFIC,Flushing Financial Corporation,20170301,BRIEF-Flushing Financial increases qtrly dividend 6 pct to $0.18 per share ,* Flushing Financial Corporation increases its quarterly dividend 6% to $0.18 per share  Source text for Eikon:  Further company coverage:,topStory
FWP,Forward Pharma A/S,20170301,BRIEF-Forward Pharma appoints Claus Bo Svendsen as CEO ,* Forward Pharma appoints Claus Bo Svendsen as chief executive officer and plans to reorganize to reduce burn rate following the settlement and license agreement with biogen,topStory
FOXF,Fox Factory Holding Corp,20170301,BRIEF-Fox Factory Holding Q4 adjusted non-gaap earnings per share $0.32 ,* Fox Factory Holding Corp announces fourth quarter and full year 2016 financial results,topStory
GNCMA,General Communication Inc,20170301,BRIEF-GCI qtrly adjusted EBITDA $68 mln ,* General Communication Inc - adjusted EBITDA is expected to be between $300 million and $325 million in 2017,topStory
GERN,Geron Corporation,20170301,BRIEF-Geron qtrly loss per share $0.05 ,* Geron Corporation reports fourth quarter and annual 2016 financial results,topStory
GLBS,Globus Maritime Limited,20170301,BRIEF-Robelle Holding Co reports 6.3 pct passive stake in Globus Maritime Ltd as of Feb 9 - SEC Filing ,* Robelle Holding Co reports 6.3 percent passive stake in Globus Maritime Ltd as of Feb 9 - SEC Filing  Source text: [http://bit.ly/2mEdYZ8] Further company coverage:,topStory
GLYC,GlycoMimetics Inc,20170301,BRIEF-Glycomimetics Q4 loss per share $0.36 ,* Glycomimetics reports fourth quarter and year-end 2016 results,topStory
GPRO,GoPro Inc,20170301,Snapchat owner Snap Inc said to have worked on drone product -NY Times ,Feb 28 Snapchat's owner Snap Inc has worked on a drone that could help users take overhead videos and photographs and then feed that visual data to the company  the New York Times reported on Tuesday.,normal
HIIQ,Health Insurance Innovations Inc,20170301,BRIEF-Health Insurance Innovations Q4 loss per share $0.04 ,* Health Insurance Innovations  Inc. Reports record fourth quarter and fiscal 2016 financial and operating results,topStory
HCCI,Heritage-Crystal Clean Inc,20170301,BRIEF-Heritage-Crystal Clean Q4 adjusted earnings per share $0.20 ,* Heritage-Crystal Clean Inc announces 2016 fourth quarter and full year financial results,topStory
HPT,Hospitality Properties Trust,20170301,BRIEF-Hospitality properties trust reports Q4 adjusted FFO per share $0.57 ,* Hospitality Properties Trust announces fourth quarter and year end 2016 results,topStory
HDSN,Hudson Technologies Inc,20170301,BRIEF-Hudson Technologies Q4 revenue rose 7 pct to $7.8 million ,* Hudson Technologies reports record revenues of $105.5 million for full year 2016; diluted EPS of $0.30,topStory
HBP,Huttig Building Products Inc,20170301,BRIEF-Huttig Building Products reports qtrly loss per share $0.01 ,* Huttig Building Products Inc Announces fourth quarter and full year 2016 results,topStory
IEP,Icahn Enterprises LP,20170301,BRIEF-Icahn Enterprises to sell Trump Taj Mahal Casino Resort ,* Icahn Enterprises L.P. announces definitive agreement to sell Trump Taj Mahal casino resort,topStory
IEP,Icahn Enterprises LP,20170301,BRIEF-Icahn Enterprises announces hiring of Dr. Richard C. Mulligan ,* Icahn Enterprises LP announces hiring of Dr. Richard C. Mulligan,normal
ICUI,ICU Medical Inc,20170301,BRIEF-Icu Medical Inc announces Q4 adj earnings per share $1.20 ,* Icu Medical Inc announces fourth quarter and fiscal year 2016 results,topStory
IPXL,Impax Laboratories Inc,20170301,BRIEF-Impax reports Q4 adjusted earnings per share $0.16 ,* Impax reports fourth quarter and full year 2016 financial results,topStory
IBKR,Interactive Brokers Group Inc,20170301,BRIEF-Interactive Brokers Group reports brokerage metrics for February 2017 ,* Interactive Brokers Group reports brokerage metrics and other financial information for February 2017  includes reg.-NMS execution statistics,topStory
ITCI,Intra-Cellular Therapies Inc,20170301,BRIEF-Intra-Cellular Therapies Q4 loss per share $0.64 ,* Intra-Cellular therapies reports fourth quarter and full-year 2016 financial results and provides corporate update,topStory
JUNO,Juno Therapeutics Inc,20170301,Juno ends development of high-profile leukemia drug after deaths ,Juno Therapeutics Inc on Wednesday said it decided to shut down development of an experimental leukemia treatment from a highly promising new class of immunotherapy following an investigation into toxicity that led to a handful of patient deaths.,topStory
JUNO,Juno Therapeutics Inc,20170301,Juno ends development of high-profile leukemia drug after deaths ,March 1 Juno Therapeutics Inc on Wednesday said it decided to shut down development of an experimental leukemia treatment from a highly promising new class of immunotherapy following an investigation into toxicity that led to a handful of patient deaths.,normal
JUNO,Juno Therapeutics Inc,20170301,BRIEF-Juno Therapeutics reports qtrly  net loss per share $0.51 ,* Juno Therapeutics reports fourth quarter and 2016 financial results,normal
KERX,Keryx Biopharmaceuticals Inc,20170301,BRIEF-Keryx Biopharmaceuticals reports Q4 loss per share $0.32 ,* Keryx Biopharmaceuticals announces fourth quarter and full year 2016 financial results,topStory
KIN,Kindred Biosciences Inc,20170301,BRIEF-Kindred Biosciences Q4 loss per share $0.29 ,* Kindred biosciences announces fourth quarter and year-end 2016 financial results,topStory
KNSL,Kinsale Capital Group Inc,20170301,BRIEF-Kinsale Capital reports Q4 earnings per share $0.32 ,* Kinsale Capital Group Inc reports 2016 fourth quarter and year-end results,topStory
LINC,Lincoln Educational Services Corporation,20170301,BRIEF-Lincoln Educational Services Corp Q4 loss per share $0.79 ,* Lincoln Educational Services Corporation reports fourth quarter and  full year 2016 results; achieves all 2016 guidance metrics,topStory
MHLD,Maiden Holdings Ltd,20170301,BRIEF-Maiden Holdings announces brief 10-K filing delay ,* Maiden Holdings announces brief 10-K filing delay for completion of final audit procedures; no material weaknesses in internal controls identified,topStory
